# Corpus pinned by upstream commit. Regenerate: scripts/manifest.py
# Never edit by hand; baseline/*.tsv numbers are only valid against these bytes.
# origin	aman	https://github.com/hhu-stups/AMAN-abstraction-example@1376af673eab5f96c0408328ba76dde2e07b65e4 Abstraction/
# origin	ertms	https://github.com/eventB-Soton/ERTMS-HL3@6b81638c95ab6cd2397c846ed78f78e6adb5780f developments/HL3_abz2018.zip HL3/
project	file	bytes	sha256
aman	MAbs_helper_Ctx.bpo	7250	34bf09832ebef19f32b4a6c1fa2afd07e3ce356be460d5d7d9118457e33de239
aman	MAbs_helper_Ctx.bps	64	cc3713fd1d32c68ba2854244857aeb0cd0d116046563b176bca02961234b6922
aman	MAbs_helper_Ctx.buc	1999	e336d902e457f2ffa7f84c17a266efe14c5ba74421ace256b282e6d59d857969
aman	MAbs_prob_mc.bpo	70957	341bc98a3edeaff1dde5fd0c250ca343e8e013dda99bd491dc151510d0678a9f
aman	MAbs_prob_mc.bps	64	cc3713fd1d32c68ba2854244857aeb0cd0d116046563b176bca02961234b6922
aman	MAbs_prob_mc.bum	13344	61fbf4eac7a947e915cba7bf51992c08b66afc55f0bd0fc7f38775b76db38cac
aman	MAbs_prob_mc_Ctx.bpo	9557	3c486cc699e56d5ff32e87e2b3ef3639cdb12e1fa65f55e06d0e6b77662f20f5
aman	MAbs_prob_mc_Ctx.bps	413	621bbc96df5ad5b6f7c1fe0d4b1e980bcf2fd6721fa672c90de4e24f3b10f7e8
aman	MAbs_prob_mc_Ctx.buc	1215	eed970d4e85fc8ee6a1f8e0b96c0222df8c7e3700b2d7c10e771be6c9222190c
ertms	ENV_C-1.bpo	732	ee5cf580bb538d37a794da209607deb7b19703f12c465fd1cda07b517beb5759
ertms	ENV_C-1.bps	64	cc3713fd1d32c68ba2854244857aeb0cd0d116046563b176bca02961234b6922
ertms	ENV_C-1.buc	359	97a9f78d6e86a80bda8465d3306f3fe7fbb23f69a8b5fe35f877f9640227f2e5
ertms	ENV_M-1.bpo	13412	e3ee1d526954c96b13cdf52a7a0a8c7401ae7ee1287c992c1914bf2c86761357
ertms	ENV_M-1.bps	792	56bcfe6b3de3728b8c4a678a7a59552464ba1b5c16dbd0a6c497433a516ec0a2
ertms	ENV_M-1.bum	10901	069c3234e48b7a4a40312e14c9b7db6f3240d10f5443fb565caa32d5e7a88ff1
ertms	Env_C0.bpo	10923	d3ed313e9c4492315a4ad53cbb984d6dfe60e026c922474d02f37ad8b1f2f23e
ertms	Env_C0.bps	801	f443d981c95a08ba381a2a274e0373b50e99a5de95b75bec1076a07b3e57508b
ertms	Env_C0.buc	7405	396c96c36f7dc4f77bd2cd7f36af9c99f164289896a323fb5548e1d4d7842577
ertms	Env_C1.bpo	11395	67d27fde21e2b6174b8293ff6d08576a36b15dd588dc98d40be662a434ef6324
ertms	Env_C1.bps	382	ffd3299c3f41af79e5846bfb9d540b04431c3165ae48ed0935194d60e9090f9d
ertms	Env_C1.buc	10151	1b68935f5cd7c4a6c02acfc2bcecec24f6015be86e2ec4a19f840c56bc949f73
ertms	Env_C3.bpo	8394	eb1d1f4bc60f738992fea50e09957878b7b48c5a4e6da5e3d93945907a2c8bf1
ertms	Env_C3.bps	64	cc3713fd1d32c68ba2854244857aeb0cd0d116046563b176bca02961234b6922
ertms	Env_C3.buc	4494	c3f456b984f791e5fdd831f2dc62bacf83f8b4b1f5bb036f05b3b2d292093d65
ertms	Env_M0.bpo	73076	52d77870c13ae227d87b260e2437cd9e1e5ab624c70e4b986fd3e5b730d996a7
