MAbs	INV	selectAirplane/is_mouse_pressed/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
MAbs	INV	resume_dragging_airplane/is_mouse_pressed/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
MAbs	INV	stop_dragging_airplane/is_mouse_pressed/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
MAbs	INV	start_dragging_zoom_slider/is_mouse_pressed/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
MAbs_helper	SIM	INITIALISATION/act5,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	INITIALISATION/dragged_zoom_level/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	INITIALISATION/act9,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	Move_Mouse_Hold/act9,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	Move_Mouse_Zoom_Zooming/dragged_zoom_level/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	Move_Mouse_Zoom_Zooming/act9,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	Move_Mouse_Zoom_Zooming/act9,2/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	Move_Mouse_Zoom_Not_Zooming/act9,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	Move_Mouse_Zoom_Not_Zooming/act9,2/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	GRD	Move_Mouse_Block/grd9,1/GRD	derived	no-sequent	pinned-bpo-omits-refinement-guard-sequent
MAbs_helper	SIM	Move_Mouse_Block/act9,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	Move_Mouse_Airplane/act9,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	Move_Mouse_Nothing/act9,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	GRD	AMAN_Update_mouse_to_nothing/abs_new_air/GRD	derived	no-sequent	pinned-bpo-omits-refinement-guard-sequent
MAbs_helper	GRD	AMAN_Update_mouse_to_nothing/grdAbstractBlocked/GRD	derived	no-sequent	pinned-bpo-omits-refinement-guard-sequent
MAbs_helper	SIM	AMAN_Update_mouse_to_nothing/act5,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	AMAN_Update_mouse_to_nothing/act9,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	WFIS	AMAN_Update_mouse_to_nothing/new_scheduledAirplanes/WFIS	derived	no-sequent	pinned-bpo-omits-witness-feasibility-sequent
MAbs_helper	GRD	AMAN_Update_mouse_to_airplane/abs_new_air/GRD	derived	no-sequent	pinned-bpo-omits-refinement-guard-sequent
MAbs_helper	GRD	AMAN_Update_mouse_to_airplane/grdAbstractBlocked/GRD	derived	no-sequent	pinned-bpo-omits-refinement-guard-sequent
MAbs_helper	SIM	AMAN_Update_mouse_to_airplane/act5,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	AMAN_Update_mouse_to_airplane/act9,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	WFIS	AMAN_Update_mouse_to_airplane/new_scheduledAirplanes/WFIS	derived	no-sequent	pinned-bpo-omits-witness-feasibility-sequent
MAbs_helper	GRD	AMAN_Update_mouse_stays/abs_new_air/GRD	derived	no-sequent	pinned-bpo-omits-refinement-guard-sequent
MAbs_helper	GRD	AMAN_Update_mouse_stays/grdAbstractBlocked/GRD	derived	no-sequent	pinned-bpo-omits-refinement-guard-sequent
MAbs_helper	SIM	AMAN_Update_mouse_stays/act5,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	WFIS	AMAN_Update_mouse_stays/new_scheduledAirplanes/WFIS	derived	no-sequent	pinned-bpo-omits-witness-feasibility-sequent
MAbs_helper	SIM	AMAN_Timeout/act5,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	Click_Hold_Button/act9,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	Release_Trigger_Hold_Button/act2,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	Release_Abort_Hold_Button/act9,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	changeZoom/act6,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	changeZoom/dragged_zoom_level/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	WFIS	changeZoom/new_abstract_selectedAirplane/WFIS	derived	no-sequent	pinned-bpo-omits-witness-feasibility-sequent
MAbs_helper	WFIS	selectAirplane/abstract_airplane/WFIS	derived	no-sequent	pinned-bpo-omits-witness-feasibility-sequent
MAbs_helper	WFIS	resume_dragging_airplane/abstract_airplane/WFIS	derived	no-sequent	pinned-bpo-omits-witness-feasibility-sequent
MAbs_helper	SIM	start_dragging_zoom_slider/dragged_zoom_level/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
MAbs_helper	SIM	start_dragging_zoom_slider/press_mouse/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
ENV_M-1	INV	INITIALISATION/TRAIN_supertypeOf_train/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
ENV_M-1	INV	ENV_join_network/TRAIN_supertypeOf_train/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
ENV_M-1	INV	ENV_leave_network/TRAIN_supertypeOf_train/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
ENV_M-1	INV	ENV_train_split/TRAIN_supertypeOf_train/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
Env_M0	INV	INITIALISATION/TRAIN_supertypeOf_train/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
Env_M0	INV	ENV_join_network/TRAIN_supertypeOf_train/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
Env_M0	INV	ENV_leave_network/TRAIN_supertypeOf_train/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
Env_M0	INV	ENV_train_split/TRAIN_supertypeOf_train/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
Env_M1	INV	INITIALISATION/typeof_train/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
Env_M1	INV	ENV_leave_network/typeof_train/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
Env_M1	INV	ENV_train_split/typeof_train/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
Env_M1	INV	ENV_join_network/typeof_train/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
Env_M2	INV	INITIALISATION/TTD_supertypeOf_occupiedTTD/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
